iter	Passed	Remaining
470	984	1105
471	985	1102
472	986	1099
473	988	1096
474	989	1093
475	991	1090
476	992	1088
477	994	1086
478	1000	1088
479	1002	1086
480	1004	1084
481	1007	1082
482	1010	1081
483	1014	1081
484	1017	1080
485	1022	1081
486	1026	1081
487	1028	1078
488	1029	1076
489	1031	1073
490	1034	1072
491	1035	1069
492	1038	1067
493	1039	1065
494	1041	1062
495	1042	1059
496	1044	1057
497	1046	1054
498	1047	1051
499	1049	1049
500	1050	1045
501	1051	1042
502	1052	1040
503	1054	1037
504	1060	1039
505	1062	1037
506	1064	1034
507	1066	1032
508	1068	1030
509	1069	1027
510	1072	1026
511	1074	1024
512	1076	1021
513	1077	1018
514	1079	1016
515	1080	1013
516	1082	1011
517	1084	1008
518	1086	1006
519	1087	1004
520	1090	1002
521	1093	1000
522	1095	998
523	1097	997
524	1099	995
525	1101	993
526	1103	990
527	1104	987
528	1105	984
529	1108	982
530	1111	981
531	1125	990
532	1129	989
533	1130	986
534	1132	984
535	1134	981
536	1135	978
537	1136	976
538	1137	973
539	1139	970
540	1141	968
541	1142	965
542	1148	966
543	1150	964
544	1152	962
545	1154	959
546	1157	958
547	1158	955
548	1160	953
549	1161	949
550	1163	947
551	1164	945
552	1166	942
553	1167	939
554	1168	936
555	1174	938
556	1177	936
557	1179	934
558	1181	931
559	1183	929
560	1185	927
561	1186	924
562	1189	923
563	1190	920
564	1193	918
565	1196	917
566	1198	915
567	1200	913
568	1202	911
569	1204	908
570	1206	906
571	1207	903
572	1209	901
573	1211	899
574	1213	896
575	1214	894
576	1216	891
577	1217	888
578	1218	886
579	1219	883
580	1221	880
581	1223	878
582	1225	876
583	1227	874
584	1230	872
585	1231	870
586	1235	869
587	1237	866
588	1238	864
589	1239	861
590	1241	859
591	1243	856
592	1244	854
593	1246	851
594	1247	849
595	1249	846
596	1250	844
597	1251	841
598	1252	838
599	1253	835
600	1254	833
601	1255	830
602	1257	827
603	1258	825
604	1260	822
605	1262	820
606	1263	817
607	1264	815
608	1265	812
609	1267	810
610	1267	807
611	1268	804
612	1269	801
613	1271	799
614	1272	796
615	1273	793
616	1274	790
617	1275	788
618	1276	785
619	1277	783
620	1278	780
621	1279	777
622	1282	776
623	1288	776
624	1290	774
625	1292	771
626	1293	769
627	1294	767
628	1296	764
629	1298	762
630	1300	760
631	1302	758
632	1303	755
633	1304	753
634	1307	751
635	1308	748
636	1309	746
637	1310	743
638	1311	741
639	1313	738
640	1314	736
641	1316	733
642	1317	731
643	1318	728
644	1319	726
645	1320	723
646	1321	721
647	1323	718
648	1324	716
649	1326	714
650	1327	711
651	1328	708
652	1329	706
653	1330	703
654	1331	701
655	1332	698
656	1333	696
657	1334	693
658	1335	691
659	1336	688
660	1338	686
661	1342	685
662	1344	683
663	1345	680
664	1346	678
665	1348	676
666	1350	674
667	1351	671
668	1353	669
669	1355	667
670	1356	665
671	1357	662
672	1359	660
673	1360	658
674	1362	655
675	1363	653
676	1364	651
677	1367	649
678	1368	646
679	1369	644
680	1371	642
681	1372	640
682	1374	637
683	1376	635
684	1378	633
685	1379	631
686	1380	628
687	1381	626
688	1382	624
689	1383	621
690	1384	618
691	1385	616
692	1386	614
693	1387	611
694	1388	609
695	1389	606
696	1390	604
697	1391	602
698	1392	599
699	1395	598
700	1399	596
701	1401	595
702	1402	592
703	1404	590
704	1405	588
705	1409	586
706	1411	584
707	1413	582
708	1414	580
709	1415	578
710	1417	576
711	1419	574
712	1420	571
713	1421	569
714	1422	567
715	1425	565
716	1426	563
717	1428	560
718	1430	559
719	1432	556
720	1433	554
721	1434	552
722	1435	549
723	1436	547
724	1437	545
725	1439	543
726	1440	540
727	1441	538
728	1442	536
729	1443	533
730	1445	531
731	1446	529
732	1447	527
733	1448	524
734	1449	522
735	1451	520
736	1456	519
737	1457	517
738	1459	515
739	1461	513
740	1463	511
741	1464	509
742	1465	507
743	1467	504
744	1468	502
745	1470	500
746	1472	498
747	1473	496
748	1474	494
749	1475	491
750	1477	489
751	1478	487
752	1479	485
753	1481	483
754	1482	481
755	1484	479
756	1485	476
757	1486	474
758	1488	472
759	1490	470
760	1491	468
761	1491	465
762	1492	463
763	1494	461
764	1495	459
765	1495	456
766	1498	455
767	1500	453
768	1501	450
769	1502	448
770	1503	446
771	1504	444
772	1505	441
773	1505	439
774	1507	437
775	1508	435
776	1509	433
777	1513	431
778	1515	429
779	1516	427
780	1518	425
781	1520	423
782	1521	421
783	1522	419
784	1524	417
785	1526	415
786	1527	413
787	1528	411
788	1530	409
789	1531	407
790	1532	404
791	1533	402
792	1535	400
793	1536	398
794	1538	396
795	1540	394
796	1542	392
797	1543	390
798	1546	389
799	1547	386
800	1548	384
801	1550	382
802	1552	380
803	1553	378
804	1554	376
805	1555	374
806	1556	372
807	1557	370
808	1558	367
809	1559	365
810	1561	363
811	1562	361
812	1563	359
813	1565	357
814	1569	356
815	1571	354
816	1573	352
817	1574	350
818	1576	348
819	1578	346
820	1579	344
821	1580	342
822	1582	340
823	1584	338
824	1585	336
825	1586	334
826	1587	332
827	1589	330
828	1590	328
829	1591	326
830	1593	324
831	1595	322
832	1596	320
833	1597	317
834	1598	315
835	1599	313
836	1601	311
837	1602	309
838	1603	307
839	1605	305
840	1606	303
841	1607	301
842	1607	299
843	1608	297
844	1609	295
845	1610	293
846	1612	291
847	1613	289
848	1614	287
849	1615	285
850	1617	283
851	1618	281
852	1619	279
853	1621	277
854	1622	275
855	1626	273
856	1631	272
857	1633	270
858	1635	268
859	1638	266
860	1639	264
861	1640	262
862	1643	260
863	1645	259
864	1647	257
865	1649	255
866	1650	253
867	1651	251
868	1654	249
869	1655	247
870	1657	245
871	1658	243
872	1660	241
873	1661	239
874	1662	237
875	1664	235
876	1665	233
877	1666	231
878	1667	229
879	1668	227
880	1670	225
881	1671	223
882	1672	221
883	1674	219
884	1675	217
885	1675	215
886	1676	213
887	1677	211
888	1678	209
889	1681	207
890	1686	206
891	1688	204
892	1689	202
893	1692	200
894	1693	198
895	1695	196
896	1697	194
897	1699	193
898	1700	191
899	1701	189
900	1703	187
901	1705	185
902	1706	183
903	1708	181
904	1710	179
905	1712	177
906	1714	175
907	1717	173
908	1718	172
909	1719	170
910	1720	168
911	1721	166
912	1722	164
913	1724	162
914	1725	160
915	1727	158
916	1728	156
917	1729	154
918	1731	152
919	1732	150
920	1733	148
921	1734	146
922	1735	144
923	1736	142
924	1738	140
925	1743	139
926	1745	137
927	1747	135
928	1748	133
929	1749	131
930	1751	129
931	1753	127
932	1755	126
933	1756	124
934	1758	122
935	1759	120
936	1760	118
937	1762	116
938	1764	114
939	1765	112
940	1767	110
941	1768	108
942	1770	107
943	1771	105
944	1772	103
945	1774	101
946	1775	99
947	1777	97
948	1778	95
949	1779	93
950	1781	91
951	1782	89
952	1783	87
953	1785	86
954	1786	84
955	1787	82
956	1788	80
957	1789	78
958	1790	76
959	1791	74
960	1793	72
961	1795	70
962	1797	69
963	1800	67
964	1802	65
965	1804	63
966	1805	61
967	1807	59
968	1808	57
969	1810	55
970	1812	54
971	1814	52
972	1816	50
973	1818	48
974	1820	46
975	1821	44
976	1822	42
977	1823	41
978	1825	39
979	1827	37
980	1828	35
981	1830	33
982	1832	31
983	1834	29
984	1835	27
985	1837	26
986	1838	24
987	1839	22
988	1840	20
989	1841	18
990	1842	16
991	1843	14
992	1844	13
993	1845	11
994	1846	9
995	1847	7
996	1848	5
997	1850	3
998	1854	1
999	1856	0
